STT;Nhóm hàng ;Nhóm hàng/Loại;Tên sản phẩm;Model;Thông số chính;Giá (VND);;;;;;;;;;;;;;;;;;
17;Điện gia dụng;Máy sấy tóc;SẤY TÓC SUNHOUSE;SHD2305;"Công suất: 650W
Tốc độ sấy: 2 tốc độ
Kiểu dáng: Tay cầm gấp gọn
Chế độ bảo vệ: Tự ngắt khi quá nhiệt
Nhiệt độ tối đa: 50ºC - 70ºC
Nguồn điện áp: 220V / 50Hz
Kích thước - Khối lượng:
Ngang 19 cm - Cao 7 cm - Rộng 16 cm - Khối lượng 250g
Chiều dài dây điện: 145 cm
Thương hiệu của: Việt Nam
Sản xuất tại: Trung Quốc
Năm ra mắt: 2017
Hãng: Sunhouse.";150000;;;;;;;;;;;;;;;;;;
18;Điện gia dụng;Máy sấy tóc;SẤY TÓC SUNHOUSE;SHD2317;"Công suất: 1800W
Tốc độ sấy: 2 tốc độ, có sấy mát
Đầu sấy:
Đầu sấy hẹp
Kiểu dáng:
Tay cầm thẳng
Chế độ bảo vệ: Tự ngắt khi quá nhiệt
Tiện ích:
Có móc treo
Đầu sấy hẹp tạo kiểu tóc
Tấm nhiệt siêu bền
Nhiệt độ tối đa: 50ºC - 70ºC
Nguồn điện áp: 220V / 50Hz
Kích thước - Khối lượng:
Ngang 29.5 cm - Cao 27 cm - Rộng 9.5 cm - Khối lượng 600g
Chiều dài dây điện: 150 cm
Thương hiệu của: Việt Nam
Sản xuất tại: Trung Quốc
Năm ra mắt: 2019
Hãng: Sunhouse.";480000;;;;;;;;;;;;;;;;;;
19;Điện gia dụng;Máy xay sinh tố;MÁY XAY SINH TỐ SUNHOUSE;SHD5112;"Công suất	350 W
Dung tích cối xay	1 L
Màu sắc	Xanh
Khối lượng	2.5 kg
Khóa an toàn	Không
Tốc độ	2 tốc độ, 1 chế độ nhồi
Điện áp	220V/50Hz
Chức năng	Xay hoa quả, sinh tố + Xay thực phẩm khô
Chất liệu vỏ máy	Nhựa cao cấp siêu bền
Chất liệu cối xay	Thủy tinh chịu lực
Màn hình	Không
Lưới lọc	Không
Lưỡi dao xay	Inox cao cấp
Khả năng xay đá, đậu nành	Có
Bảng điều khiển	Nút bấm
Phụ kiện đi kèm	Không
Đặc điểm khác	Thiết kế gọn nhẹ, linh hoạt, an toàn khi sử dụng
2 cối linh hoạt
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc
Kích thước đóng hộp	200 x 170 x 388 (mm)
Bảo hành	12 tháng";350000;;;;;;;;;;;;;;;;;;
20;Điện gia dụng;Máy xay sinh tố;MÁY XAY SINH TỐ SUNHOUSE;SHD5322;"Công suất	220 W
Dung tích cối xay	1.25 L
Màu sắc	Đỏ
Khối lượng	2.5 kg
Khóa an toàn	Có
Tốc độ	2 tốc độ, 1 chế độ nhồi
Điện áp	220V~/50 Hz
Chức năng	Xay hoa quả, sinh tố + Xay thịt, cá, tôm + Xay thực phẩm khô
Chất liệu vỏ máy	Nhựa cao cấp
Chất liệu cối xay	Nhựa cao cấp
Màn hình	Không
Lưới lọc	Có
Lưỡi dao xay	Inox
Khả năng xay đá, đậu nành	Có
Bảng điều khiển	Núm xoay
Phụ kiện đi kèm	Thanh đẩy thực phẩm
Đặc điểm khác	3 cối linh hoạt
3 lưỡi dao xay riêng
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc
Bảo hành	12 tháng";850000;;;;;;;;;;;;;;;;;;
21;Điện gia dụng;Nồi chiên không dầu;NỒI CHIÊN KHÔNG DẦU SUNHOUSE;SHD4030;"Màu sắc	Đen
Chất liệu vỏ nồi	Nhựa PP siêu bền
Chất liệu ruột nồi	Thép sơn phủ chống dính
Dung tích	6.5 L
Công suất	1700 W
Điện áp	220 V~/50 Hz
Hẹn giờ	Có (1 – 60 phút)
Bảng điều khiển	Núm xoay
Đặc điểm khác	Công nghệ Rapid Air 360 độ
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc
Trọng lượng	4.8 Kg
Bảo hành	12 tháng";1200000;;;;;;;;;;;;;;;;;;
22;Điện gia dụng;Nồi chiên không dầu;NỒI CHIÊN KHÔNG DẦU SUNHOUSE;SHD4093;"Màu sắc	Đen – Bạc
Chất liệu vỏ nồi	Nhựa PP siêu bền
Chất liệu ruột nồi	Thép sơn phủ chống dính
Dung tích	10.5 L
Công suất	2000 W
Điện áp	220 V~/50 Hz
Hẹn giờ	Có (1 – 60 phút)
Màn hình	Cảm ứng
Thương hiệu	SUNHOUSE MAMA
Xuất xứ	Trung Quốc
Trọng lượng	6,5 Kg
Bảo hành	24 tháng";2000000;;;;;;;;;;;;;;;;;;
23;Điện gia dụng;Nồi cơm điện;NỒI CƠM ĐIỆN SUNHOUSE;SHD-8201;"Dung tích nồi	0.8 Lít
Chế độ	Nấu cơm, hâm nóng
Chất liệu lòng nồi	Hợp kim nhôm sơn chống dính FLEAD 2 lớp
Công suất	400W
Điện áp	220V~/50Hz
Bảng điều khiển	Nút cơ
Phụ kiện	Vỉ hấp, cốc đong gạo, thìa xới cơm, dây nguồn, HDSD
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc
Trọng lượng	1.8 kg
Bảo hành	12 tháng
Số người ăn	1 - 3 người
Công nghệ nấu	Mâm nhiệt";490000;;;;;;;;;;;;;;;;;;
24;Điện gia dụng;Nồi cơm điện;NỒI CƠM ĐIỆN SHAP;KS-NR181STV;"Nguồn điện nồi cơm điện	220 – 240V/ 50Hz – 60Hz
Dung Tích nồi cơm điện	1.8 L
Công suất nồi cơm điện	700 W
Trọng lượng nồi cơm điện	3.2 kg
Kích thước nồi cơm điện (RxSxC) mm	308 x 285 x 306";1350000;;;;;;;;;;;;;;;;;;
25;Điện gia dụng;Nồi áp suất;NỒI ÁP SUẤT ĐA NĂNG SUNHOUSE;SHD1552;"Dung tích nồi        5 lít
Chế độ/Chức năng        Đa chức năng nấu nướng: hầm gân, súp, cháo, gà, canh…
Màu sắc        Đỏ
Loại nồi        Nồi nắp rời
Chất liệu vỏ nồi        Thép phủ sơn tĩnh điện
Chất liệu lòng nồi        Hợp kim nhôm phủ chống dính Whitford (USA)
Công suất        900 W
Điện áp        220-240V/50Hz
Màn hình        Không
Bảng điều khiển        Núm xoay
Dây điện        Dây rời
Hẹn giờ        Không
Phụ kiện        Dây nguồn, Cốc đo, Muỗng, Sách HDSD
Đặc điểm khác        An toàn tuyệt đối trong quá trình sử dụng
Bảng điều khiển bằng tiếng Việt, dễ dàng sử dụng
Thương hiệu        SUNHOUSE
Bảo hành        12 tháng
Xuất xứ        Trung Quốc
Trọng lượng        4.36kg
Kích thước đóng hộp        320 x 320 x 350 (mm)";1050000;;;;;;;;;;;;;;;;;;
26;Điện gia dụng;Nồi áp suất;NỒI ÁP SUẤT ĐA NĂNG SUNHOUSE;SHD1756;"Dung tích nồi	6 lít
Chế độ/Chức năng	Đa chức năng nấu nướng: hầm gân, súp, cháo, gà, canh, nấu cơm, giữ ấm thực phẩm…
Màu sắc	Cà phê
Loại nồi	Nồi nắp liền
Chất liệu vỏ nồi	Thép phủ sơn tĩnh điện
Chất liệu lòng nồi	Hợp kim nhôm phủ chống dính Whitford (USA)
Công suất	1000 W
Điện áp	220V~/50Hz
Màn hình	Không
Bảng điều khiển	Núm xoay
Dây điện	Dây rời
Hẹn giờ	Không
Phụ kiện	Dây nguồn, Muỗng lấy cơm, Cốc đo
Đặc điểm khác	Bảng điều khiển bằng Tiếng Việt, dễ dàng khi sử dụng
An toàn tuyệt đối trong quá trình sử dụng
Thương hiệu	SUNHOUSE
Bảo hành	12 tháng
Xuất xứ	Trung Quốc
Trọng lượng	5.3 kg";1500000;;;;;;;;;;;;;;;;;;
27;Điện gia dụng;Tủ sấy quần áo;TỦ SẤY QUẦN ÁO SUNHOUSE;SHD2702;"Mã sản phẩm	SHD2702
Phương pháp sấy khô	Sấy khô tĩnh học (Nhiệt đối lưu)
Chức năng	Sấy khô - Treo trữ đồ
Công suất	900 W
Điện áp	220V~/50 Hz
Khối lượng sấy	10 kg
Thời gian sấy tối đa	180 phút
Bảng điều khiển	Núm xoay
Đèn UV diệt khuẩn	Không
Kích thước lồng sấy	70x45x150 cm
Kích thước đóng hộp	70x24x28 cm
Khối lượng	2.8 kg
Bảo hành	12 tháng
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc";1000000;;;;;;;;;;;;;;;;;;
28;Điện gia dụng;Tủ sấy quần áo;TỦ SẤY QUẦN ÁO SUNHOUSE;SHD2707;"Mã sản phẩm	SHD2707
Phương pháp sấy khô	Sấy khô tĩnh học (Nhiệt đối lưu)
Chức năng	Sấy khô - Treo trữ đồ
Công suất	1500 W
Điện áp	220V~/50 Hz
Khối lượng sấy	15 kg
Thời gian sấy tối đa	180 phút
Bảng điều khiển	Bảng điện tử
Đèn UV diệt khuẩn	Không
Phụ kiện	Điều khiển từ xa
Kích thước lồng sấy	87x44x180 cm
Kích thước đóng hộp	85x21x22 cm
Khối lượng	6.3 kg
Bảo hành	12 tháng
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc";1550000;;;;;;;;;;;;;;;;;;
29;Điện gia dụng;Ấm siêu tốc;ẤM SIÊU TỐC KORICHI;KRC-5318;"– Công suất: 1850W
– Điện áp: 220V ~ 50 Hz
– Dung tích: 1.8L
– Chất liệu kính chịu nhiệt tới 800 độ C
– Rơ le tự ngắt khi sôi
– Đèn led";250000;;;;;;;;;;;;;;;;;;
30;Điện gia dụng;Ấm siêu tốc;ẤM SIÊU TỐC SUNHOUSE;SHD1382;"Dung tích	1.7 lít
Màu sắc	Xanh
Thân ấm	2 lớp (inox 304 và nhựa PP)
Điện áp	220V – 50Hz
Công suất	1800W
Nắp ấm	Nhựa chịu nhiệt siêu bền
Tay cầm	Nhựa chịu nhiệt siêu bền
Nút mở	Nút ấn tại nắp
Công tắc nguồn	Nút bấm
Rơ-le	Tự động ngắt khi nước sôi, cạn nước hoặc ấm quá nóng
Đế tiếp điện	Đế tiếp điện xoay 360 độ
Đèn báo	Đèn tự động báo hiệu bật/tắt
Vạch báo mức nước	Không
Thương hiệu	SUNHOUSE
Xuất xứ	Trung Quốc
Trọng lượng	0.93 kg
Bảo hành	18 tháng";520000;;;;;;;;;;;;;;;;;;
31;Điện gia dụng;Ấm đun nước;ẤM ĐUN NƯỚC ĐẠT TƯỜNG;DL-04;"- Nhãn hiệu: ĐẠT TƯỜNG.

- Mã SP : DTDL04.

- Chất liệu : Inox ngoại nhập dày 0.04mm.

- Quai ấm: Núm vung làm bằng nhựa chống cháy.

- Dung tích : 5L.

- Công suất 1500W.

- Điện áp: 220V - 50Hz.

- Sản xuất : CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI ĐẠT TƯỜNG.

";310000;;;;;;;;;;;;;;;;;;
32;Điện gia dụng;Ấm đun nước;ẤM ĐUN NƯỚC ĐẠT TƯỜNG;DL-08;"- Nhãn hiệu: ĐẠT TƯỜNG.

- Mã SP : DTDL-08XANH.

- Chất liệu : Inox ngoại nhập.

- Quai ấm: Núm vung làm bằng nhựa chống cháy.

- Dung tích : 5L.

- Công suất 1500W.

- Điện áp: 220V - 50Hz.

- Sản xuất : CÔNG TY CỔ PHẦN SẢN XUẤT VÀ THƯƠNG MẠI ĐẠT TƯỜNG.";350000;;;;;;;;;;;;;;;;;;
33;Điện lạnh;Tủ lạnh;Tủ lạnh Toshiba;RF-675WI PGV06 MG;"Kiểu tủ: Multi Door - 4 cánh
Dung tích tổng: 567 lít
Dung tích sử dụng: 515 lít - 4 - 5 người
Dung tích ngăn đá: 170 lít
Dung tích ngăn lạnh: 345 lít
Chất liệu cửa tủ lạnh: Mặt thép
Chất liệu khay ngăn lạnh: Kính chịu lực
Chất liệu ống dẫn gas, dàn lạnh:
Ống dẫn gas hợp kim - Lá tản nhiệt bằng nhôm
Năm ra mắt: 2024
Sản xuất tại: Trung Quốc";15500000;;;;;;;;;;;;;;;;;;
34;Điện gia dụng;Máy giặt;Máy giặt sấy PANASONIC;S106FC1LVT;"Loại máy giặt: Máy giặt sấy
Lồng giặt: Lồng ngang
Khối lượng giặt: Giặt 10 Kg - Sấy 6 Kg
Số người sử dụng: Từ 5 - 7 người
Kiểu động cơ: Truyền động gián tiếp (dây Curoa)
Tốc độ quay vắt tối đa: 1400 vòng/phút
Chất liệu lồng giặt: Thép không gỉ
Chất liệu vỏ máy: Kim loại sơn tĩnh điện
Chất liệu nắp máy: Đang cập nhật
Chất liệu cửa máy: Kính chịu lực
Sản xuất tại: Việt Nam
Năm ra mắt: 2022
Thời gian bảo hành động cơ: 12 năm";14200000;;;;;;;;;;;;;;;;;;
35;Điện lạnh;Tủ đông;Tủ đông HÒA PHÁT;HPF AD6783;"Loại tủ: Tủ đông
Dung tích tổng: 783 lít
Dung tích sử dụng: 783 lít - Ngăn đông 783 lít
Số cửa: 2 cửa
Số ngăn: 1 ngăn đông
Công suất danh định: 145W
Điện năng tiêu thụ: 3.48 kWh/ngày
Nhiệt độ ngăn đông (độ C): ≤ -18˚C
Công nghệ tích hợp:
Làm lạnh trực tiếp
Làm lạnh 5D
Công nghệ Extra Freezing
Chất liệu dàn lạnh: Đồng
Chất liệu lòng tủ: Nhôm sơn tĩnh điện
Chất liệu bên ngoài:
Thân tủ: Tôn sơn tĩnh điện, Cửa tủ: Tôn sơn tĩnh điện
Tiện ích:
Nút điều chỉnh nhiệt độ bên ngoài tủ
Khoá cửa tủ
Xẻng cạo tuyết
Giỏ đựng đồ
Lỗ thoát nước
Bánh xe
Kích thước, khối lượng:
Cao 91.6 cm - Ngang 206.6 cm - Sâu 82.9 cm - Nặng 85 kg
Loại Gas: R290
Độ ồn: 55 - 65 dB
Thương hiệu của: Việt Nam
Sản xuất tại: Việt Nam
Năm ra mắt: 2023
Hãng: Hoà Phát.";14200000;;;;;;;;;;;;;;;;;;
36;Điện lạnh;Tủ lạnh;Tủ lạnh Sharp;SJ-SBX440VG-BK;"Kiểu tủ:
Tủ lớn - Side by Side - 2 cánh
Dung tích tổng: 472 lít
Dung tích sử dụng: 442 lít - 4 - 5 người
Dung tích ngăn đá: 151 lít
Dung tích ngăn lạnh: 291 lít
Chất liệu cửa tủ lạnh: Kính cường lực
Chất liệu khay ngăn lạnh: Kính chịu lực
Chất liệu ống dẫn gas, dàn lạnh:
Ống dẫn gas bằng Đồng và Sắt - Lá tản nhiệt bằng Nhôm
Năm ra mắt: 2022
Sản xuất tại: Trung Quốc";13500000;;;;;;;;;;;;;;;;;;
37;Điện lạnh;Tủ lạnh;Tủ lạnh Panasonic;NR-BV331CPKV;"Thể tích thực 
Tổng cộng 300 L
Ngăn lạnh (PC): 203 L
Ngăn đông (FC): 97 L
Ngăn rau quả (VC)
Kích thước sản phẩm (RxSxC): 601 x 653 x 1,680 mm
Loại xả băng
Điều khiển PCB điện
Tiêu chuẩn / Quy định
QCVN 9:2012/BKHCN
TCVN 7828:2016, TCVN 7829:2016
Mức tiêu thụ năng lượng: 362 kWh/năm
Mức năng lượng: 5 Sao
Trọng lượng tịnh: 56 kg
Tổng trọng lượng: 62kg
Điện áp: 220 V
Héc: 50 Hz
Số cửa: 2
Màu cửa: Đen
Vật liệu cửa: Kim loại (DCM)
Bảng điều khiển: Bên trong";13500000;;;;;;;;;;;;;;;;;;
